"inst_name","NUM","numV","numE","LIFO","maxOrders","timelimit","radius","stop","OriginCost","NUM_enum","Two_enum","Three_enum","Four_enum","TIME_enum","TIME_exact","LTL_enum","MSTL2_enum","MSTL3_enum","MSTL4_enum","COST_enum","impr_enum","bundle_enum","delayOrder_enum","delayTime_avg_enum","delayTime_sd_enum","epsilon_exact","MAXDEV_exact","instb_exact","SAVE_avg_exact","SAVE_sd_exact","NUM_LCS","Two_LCS","Three_LCS","Four_LCS","TIME_LCS","ITER_LCS","ITER_SP","LTL_LCS","MSTL2_LCS","MSTL3_LCS","MSTL4_LCS","COST_LCS","impr_LCS","gap_LCS","bundle_LCS","delayOrder_LCS","delayTime_avg_LCS","delayTime_sd_LCS","epsilon_LCS","MAXDEV_LCS","instb_LCS","SAVE_avg_LCS","SAVE_sd_LCS","epsilon_PR","MAXDEV_PR","instb_PR","SAVE_avg_PR","SAVE_sd_PR","epsilon_DR","MAXDEV_DR","instb_DR","SAVE_avg_DR","SAVE_sd_DR"
"inst_ZJ_300_1",383,768,265914,TRUE,4,12,100,500,2476911.242,12834,5980,6332,139,214.2354667,214.23885,234,61,9,0,2203335.271,11.04504538,38.9033942558747,1,0.65,0,2.47316391,0.033523789,1.373383664,28.02091075,21.7588355,1336,744,207,2,1.55465,16,5307,234,61,9,0,2203335.271,11.04504538,0,38.90339426,1,0.65,0,2.47316391,0.033523789,11.67664671,28.0205236,21.83890155,2696.423851,32.64896855,14.67065868,26.75654677,13.22629724,173.9458617,1.724561851,0.224550898,28.07709836,21.85241278
"inst_ZJ_300_2",359,720,238450,TRUE,4,12,100,500,2382080.926,9338,5795,3169,15,196.31875,196.32095,202,65,9,0,2076849.856,12.8136314,43.7325905292479,1,0.366666667,0,4.791868483,0.066957894,1.826484018,28.40328712,21.92620184,1356,829,168,0,0.82385,13,2350,206,66,7,0,2077002.564,12.80722071,0.007352856,42.6183844,2,0.366666667,0,6.850849888,0.095728521,11.72566372,29.17202754,21.81403309,2721.784967,27.19499101,15.56047198,28.81082926,12.9895651,258.9550338,3.179976592,0.663716814,29.35470844,21.85568833
"inst_ZJ_300_3",378,758,182823,TRUE,4,12,50,500,2511823.896,1603,894,330,1,202.3795167,202.3801333,271,43,7,0,2329530.811,7.257399089,28.3068783068783,1,0.85,0,28.78175803,0.404708819,7.591836735,27.74063283,24.61301553,641,205,58,0,0.5853,8,304,271,43,7,0,2329530.811,7.257399089,0,28.30687831,1,0.85,0,28.78175803,0.404708819,14.66458658,27.62468319,24.5791023,2720.145455,30.12869865,8.892355694,25.00679731,13.34955795,471.6814775,4.023055027,2.340093604,26.93169251,23.41440581
"inst_ZJ_300_4",396,794,203097,TRUE,4,12,50,500,2633546.391,2586,1209,973,8,208.53965,208.5405333,255,54,11,0,2388989.211,9.28623018,35.6060606060606,5,0.21,0.159251722,17.83158436,0.247799937,6.02739726,25.28100204,21.39151737,831,314,121,0,0.509966667,8,811,255,54,11,0,2388989.211,9.28623018,0,35.60606061,5,0.21,0.159251722,17.83158436,0.247799937,15.04211793,25.55407262,21.44105167,1775.051273,18.67334967,10.58965102,25.43411816,14.82486618,518.2434472,4.282196803,1.444043321,25.31350291,20.81776542
"inst_ZJ_300_5",326,654,135828,TRUE,4,12,50,500,2140523.106,1378,776,276,0,192.2231,192.22335,233,39,5,0,1989063.775,7.075809186,28.5276073619632,0,0,0,31.6121379,0.450620904,8.174904943,22.97913098,19.09167016,570,194,50,0,0.527066667,7,246,233,39,5,0,1989146.335,7.071952185,0.004150696,28.52760736,0,0,0,33.42002111,0.4763917,14.73684211,23.05050211,19.18266198,1699.025569,23.87619933,6.49122807,23.31210093,14.84492621,637.426175,8.95767238,3.333333333,23.42561411,19.81910199
"inst_ZJ_400_1",448,898,257215,TRUE,4,12,50,500,2956724.334,2792,1470,849,25,299.7507,299.75165,305,64,5,0,2708303.984,8.401877289,31.9196428571429,0,0,0,11.5215277,0.163399966,5.887372014,26.14853665,19.3021502,899,347,103,1,0.597133333,9,754,305,64,5,0,2708303.984,8.401877289,0,31.91964286,0,0,0,11.5215277,0.163399966,14.68298109,26.15610936,19.33324072,1704.985455,21.43233928,9.343715239,25.17626128,14.34890472,387.6839354,5.303894637,1.446051168,26.88328356,21.35382648
"inst_ZJ_400_2",470,942,400988,TRUE,4,12,100,500,3028436.812,16461,8844,7107,40,349.11225,349.1160667,307,71,7,0,2716271.566,10.30780118,34.6808510638298,1,0.45,0,1.82e-12,1.64e-14,0,27.80071728,21.79235743,1645,976,199,0,1.432266667,16,6039,307,71,7,0,2716271.566,10.30780118,0,34.68085106,1,0.45,0,1.82e-12,1.39e-14,0,27.80722931,21.79444214,2911.170571,36.23572092,18.48024316,27.48874563,13.36762025,1.82e-12,1.39e-14,0,28.06005149,21.4156324
"inst_ZJ_400_3",488,978,432596,TRUE,4,12,100,500,3221399.992,21864,9709,11576,91,331.5433667,331.5488167,291,91,5,0,2815772.406,12.59165542,40.3688524590164,2,0.408333333,0.200346921,8.611393927,0.12101487,0.90755988,30.35142128,22.75670646,2007,1236,282,1,1.865283333,19,9222,288,91,6,0,2815799.919,12.59080134,0.000977,40.98360656,2,0.208333333,0.082495791,8.899489764,0.125063445,9.516691579,29.91028578,22.95201376,2790.072727,39.0698636,21.12605879,28.53756288,13.22819241,228.8849219,4.409127607,0.946686597,29.99543063,23.03906815
"inst_ZJ_400_4",460,922,269296,TRUE,4,12,50,500,2951062.822,3626,1546,1590,30,346.8647333,346.86605,301,57,15,0,2681025.582,9.150508025,34.5652173913044,4,0.5375,0.39869579,19.76050621,0.280165291,4.801010739,26.76493748,20.8702432,1012,339,192,21,0.746533333,11,1418,301,57,15,0,2681626.809,9.130134775,0.022425276,34.56521739,3,0.538888889,0.457752157,27.91735029,0.39581337,14.82213439,26.69648338,20.80247841,2681.787335,30.05598494,10.17786561,25.31985838,13.86013179,671.2987925,6.023209924,2.075098814,26.88168532,21.75599032
"inst_ZJ_400_5",481,964,414983,TRUE,4,12,100,500,3226589.711,14644,8179,5927,57,300.957,300.96085,285,80,12,0,2834788.955,12.14287501,40.7484407484407,3,0.3,0.136422546,2.197244114,0.030955646,1.616889077,28.45878989,21.67936148,1647,975,190,1,1.12575,16,4717,287,79,12,0,2834789.701,12.14285189,2.63e-05,40.33264033,3,0.3,0.136422546,2.205373896,0.031070181,12.62902247,28.596108,21.53499687,2557.391906,33.7377258,16.08986035,28.49827937,14.15093402,166.257115,1.367907467,0.485731633,28.71643281,21.53558725
