inst_name, NUM, numV, numE, LIFO, maxOrders, timelimit, radius, stop, OriginCost, NUM_enum, Two_enum, Three_enum, Four_enum, TIME_enum, TIME_exact, LTL_enum, MSTL2_enum, MSTL3_enum, MSTL4_enum, COST_enum, impr_enum, bundle_enum, delayOrder_enum, delayTime_avg_enum, delayTime_sd_enum, epsilon_exact, MAXDEV_exact, instb_exact, SAVE_avg_exact, SAVE_sd_exact, NUM_LCS, Two_LCS, Three_LCS, Four_LCS, TIME_LCS, ITER_LCS, ITER_SP, LTL_LCS, MSTL2_LCS, MSTL3_LCS, MSTL4_LCS, COST_LCS, impr_LCS, gap_LCS, bundle_LCS, delayOrder_LCS, delayTime_avg_LCS, delayTime_sd_LCS, epsilon_LCS, MAXDEV_LCS, instb_LCS, SAVE_avg_LCS, SAVE_sd_LCS, epsilon_PR, MAXDEV_PR, instb_PR, SAVE_avg_PR, SAVE_sd_PR, epsilon_DR, MAXDEV_DR, instb_DR, SAVE_avg_DR, SAVE_sd_DR
inst_ZJ_1600_1,1600,3202,4612308,true,4,12.0,100.0,500.0,1.0608257004487539E7,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10410,7267,1523,20,24.737666666666666,93,25000,852,285,58,1,9195817.107070843,13.314533168070882,0.0,46.75,4,0.1125000000000016,0.07622457074450975,5.412079629051732,0.07714746222579702,7.60806916426513,27.528913908304855,22.153005439630224,3218.6092269187993,40.053074890834836,22.161383285302595,26.915288113439352,14.132746975279677,175.82149886570187,1.4827997610412222,0.12487992315081652,27.51017321208091,22.411336033506146
inst_ZJ_1600_2,1600,3202,4591852,true,4,12.0,100.0,500.0,1.0633733805832537E7,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9880,6942,1324,14,19.9325,88,25000,900,290,40,0,9239010.245350836,13.116028536624677,0.0,43.75,3,0.6777777777777771,0.49281880074766893,14.440820584613903,0.20584927364726058,7.925101214574899,28.791710631098493,22.90211185381604,3642.8065151515148,51.10444371551024,22.965587044534413,27.844098087634215,14.631638270312722,412.09992237886854,5.8182700544535475,0.1214574898785425,29.11271956168601,23.848078920752386
inst_ZJ_1600_3,1600,3202,4633142,true,4,12.0,100.0,500.0,1.0687046371610027E7,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10307,7337,1359,11,16.06685,92,25000,886,291,44,0,9251681.979262514,13.430880174343924,0.0,44.625,5,0.2366666666666674,0.23434305337830066,10.583337087016844,0.14901155513119488,8.140098961870573,29.01755166293155,22.104917428689557,3257.745454545453,45.70247377367305,21.994760842146114,28.17874860815027,13.6676070045674,205.28530531690012,2.5962032096736913,0.3880857669544969,29.188023721551723,22.83699081669634
inst_ZJ_1600_4,1600,3202,4617628,true,4,12.0,100.0,500.0,1.0579477654820057E7,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10781,7592,1579,10,13.711866666666667,97,25000,881,286,49,0,9071538.488871697,14.253436843938468,0.0,44.9375,5,0.12333333333333271,0.08383184226639076,8.36312127329802,0.11860699113467495,7.698729245895557,30.558983885008793,22.08501313441104,3594.73965909091,50.546698394915865,21.324552453390222,29.549116868258714,13.658864540328743,88.0005634140216,0.9171502179679166,0.40812540580651147,30.549744972482838,22.153475084821537
inst_ZJ_1600_5,1600,3202,4606805,true,4,12.0,100.0,500.0,1.0566739254147565E7,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10143,7251,1276,16,18.954983333333335,92,25000,897,294,37,1,9113730.327801676,13.750778659325448,0.0,43.9375,4,0.27916666666667034,0.18377472118914345,12.466067727735208,0.17769980396584276,8.380163659666765,30.000433800808782,23.003020672885267,3272.7418181818175,41.87690557742801,24.243320516612442,28.810460927505567,14.548344072541852,137.473590953884,1.7265085796190653,0.4140786749482402,30.113051677795127,23.668272916324298
inst_ZJ_2000_1,2000,4002,7197552,true,4,12.0,100.0,500.0,1.3266336611482596E7,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13890,9985,1885,20,21.629900000000003,122,25000,1104,358,60,0,1.1494803597344186E7,13.3535961435282,0.0,44.8,13,0.22051282051282028,0.18170410497944506,6.022531202361279,0.08584925394367904,6.709863210943125,28.32690186215139,21.740140335601602,3361.059375,47.66702842952609,23.642908567314613,27.69763954140144,13.662130552746955,310.2005860562913,2.945124944993025,0.3383729301655867,28.438621500757993,22.13068463123565
inst_ZJ_2000_2,2000,4002,7216382,true,4,12.0,100.0,500.0,1.3263034063160082E7,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14297,10060,2210,27,29.43723333333333,129,25000,1089,361,63,0,1.1462587830445882E7,13.574919766776363,0.0,45.55,7,0.31904761904762224,0.16285319776155277,10.280039928940823,0.14653867763523548,7.931733930195146,28.87447786219986,22.438282921036972,2981.241048387097,41.444144310306434,24.44568790655382,27.81576243590849,14.358262361246496,409.20805500000097,3.451077428441319,0.650486115968385,29.14200443069606,23.21564637619427
inst_ZJ_2000_3,2000,4002,7226415,true,4,12.0,100.0,500.0,1.3392777032972593E7,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13929,10188,1733,8,30.583833333333335,128,25000,1095,376,51,0,1.1574564139224203E7,13.576070812438727,0.0,45.25,7,0.16190476190476133,0.1520581899198207,10.523109492261938,0.14924025533899876,6.63364204178333,28.88611690151454,22.122347129078808,3255.7278787878804,45.59051199494598,23.246464211357598,27.93572503777995,13.588982643953978,200.4689515351547,2.4166803476599132,0.43075597673917726,29.168305050116203,23.079749444078747
inst_ZJ_2000_4,2000,4002,7191090,true,4,12.0,100.0,500.0,1.3283321145712594E7,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14533,10345,2174,14,32.358716666666666,132,25000,1101,364,57,0,1.1446799488530047E7,13.825771710528231,0.0,44.95,8,0.18541666666666767,0.15492893916397973,13.99119651552246,0.19842516530027346,7.176770109406179,29.56400882374758,22.21219371815653,3494.55303030303,49.024615473039745,23.917979770178214,28.67227234771209,14.114809101131526,245.07340779742117,2.608529228036602,0.405972614050781,29.637046061902055,23.00129436803349
inst_ZJ_2000_5,2000,4002,7224990,true,4,12.0,100.0,500.0,1.3292756998062592E7,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14094,9938,2132,24,39.73876666666667,129,25000,1091,360,63,0,1.1490860437655034E7,13.555476570211757,0.0,45.45,10,0.23500000000000157,0.16913906908623294,12.331451619822474,0.17488642399816973,7.464169149992904,29.157834721236675,22.32273396821742,3147.492708333333,42.66433034580666,22.711792252022136,27.929238209713695,13.896722990153291,264.89785250000114,3.2772787416830322,0.21285653469561516,29.38211138375283,23.06400233299059
