startdepot,returndepot,numOrders
B01FE15XQH,B0FFKHC9PU,3414
# orders
id,origin,org_id,destination,dest_id,distance,duration,pallet,dayo,to,dayd,td,LTL,maxDelay,lateCost
1,B0FFG9F43K,1,B0FFKHC9PU,3415,324.182,3.83333333333333,20,day 0,08:00,day 0,18:00,9435.85235,4,100
2,B0FFK4CQ2L,2,B0HBXZQDWS,3416,175.377,2.51666666666667,12,day 0,08:00,day 0,18:00,5661.51141,2,50
3,B0FFHDQA5M,3,B023E12FTI,3417,230.319,2.75,21,day 0,12:00,day 0,22:00,9907.6449675,2,100
4,B0FFIS83Q7,4,B0G30DK65S,3418,321.528,4.1,17,day 0,12:00,day 0,22:00,8020.4744975,2,100
5,B0FFHE4XO4,5,B0FFK7XY6U,3419,307.789,3.98333333333333,13,day 0,08:00,day 0,18:00,6133.3040275,2,50
6,B0FFL37B6B,6,B0FFKGBPOF,3420,108.279,1.71666666666667,21,day 0,08:00,day 0,18:00,9907.6449675,4,50
7,B02000JR6M,7,B0FFG4GVOV,3421,280.439,3.28333333333333,7,day 0,08:00,day 0,18:00,3302.5483225,2,100
8,B02000JR6M,8,B0GRRBHAKJ,3422,300.656,3.71666666666667,12,day 0,12:00,day 0,22:00,5661.51141,2,50
9,B0FFHC9CJ8,9,B0GRRBHAKJ,3423,310.974,3.83333333333333,14,day 0,12:00,day 0,22:00,6605.096645,4,100
10,B0FFF4JOKL,10,B0FFKZT863,3424,198.566,3.6,13,day 0,08:00,day 0,18:00,6133.3040275,4,50
11,B0FFHNXOVT,11,B0FFKZT863,3425,184.849,3.4,7,day 0,12:00,day 0,22:00,3302.5483225,2,100
12,B0FFH61OBO,12,B0FFKZT863,3426,190.728,3.41666666666667,18,day 0,08:00,day 0,18:00,8492.267115,2,50
13,B0FFGAIWAV,13,B0FFKZT863,3427,190.889,2.91666666666667,15,day 0,08:00,day 0,18:00,7076.8892625,4,50
14,B0FFL37B6B,14,B0FFHW4GZB,3428,229.93,3.9,11,day 0,08:00,day 0,18:00,5189.7187925,2,50
15,B0FFL9Q85P,15,B0HBXZQDWS,3429,298.785,3.41666666666667,15,day 0,08:00,day 0,18:00,7076.8892625,4,50
16,B0FFF4JOKL,16,B0G30DK65S,3430,203.461,2.98333333333333,7,day 0,08:00,day 0,18:00,3302.5483225,2,100
17,B0FFLC9J93,17,B0FFHW4GZB,3431,341.052,4.2,15,day 0,12:00,day 0,22:00,7076.8892625,2,100
18,B0FFKZGWZ9,18,B0FFKHC9PU,3432,305.452,3.85,13,day 0,12:00,day 0,22:00,6133.3040275,2,50
19,B0IG9RDYYV,19,B023E12FTI,3433,209.737,2.63333333333333,9,day 0,08:00,day 0,18:00,4246.1335575,2,50
20,B0FFHFSCFH,20,B023E12FTI,3434,211.41,2.71666666666667,8,day 0,12:00,day 0,22:00,3774.34094,2,100
21,B0FFFTQ4U7,21,B0HU55O3W8,3435,231.953,3.48333333333333,8,day 0,08:00,day 0,18:00,3774.34094,4,50
22,B0FFIS83Q7,22,B0FFKHC9PU,3436,384.878,4.68333333333333,7,day 0,08:00,day 0,18:00,3302.5483225,4,50
23,B0FFGYNGHQ,23,B0FFKZT863,3437,216.974,3.23333333333333,20,day 0,12:00,day 0,22:00,9435.85235,4,100
24,B0FFKZGWZ9,24,B0FFHD6O3A,3438,162.175,2.31666666666667,10,day 0,08:00,day 0,18:00,4717.926175,4,100
25,B0FFH61OBO,25,B0GUBCOVO3,3439,196.454,2.68333333333333,20,day 0,08:00,day 0,18:00,9435.85235,2,50
26,B0GKC6MA4E,26,B0GUBCOVO3,3440,280.524,3.26666666666667,6,day 0,08:00,day 0,18:00,2830.755705,2,50
27,B0GUAXEBYM,27,B0FFITCS2H,3441,196.383,2.56666666666667,20,day 0,08:00,day 0,18:00,9435.85235,4,100
28,B0FFITJD3C,28,B0FFI22X6S,3442,265.425,3.1,8,day 0,08:00,day 0,18:00,3774.34094,4,100
29,B02000JR6M,29,B0FFI22X6S,3443,242.124,2.8,19,day 0,12:00,day 0,22:00,8964.0597325,2,50
30,B0FFHDQA5M,30,B0FFG2I6S2,3444,238.746,2.85,21,day 0,12:00,day 0,22:00,9907.6449675,2,100
31,B0FFK7ZQFN,31,B0FFFA8L2B,3445,295.117,3.46666666666667,14,day 0,12:00,day 0,22:00,6605.096645,2,100
32,B01FE15XQH,32,B0G30DK65S,3446,279.91,3.71666666666667,14,day 0,12:00,day 0,22:00,6605.096645,4,50
33,B01FE15UUN,33,B0FFLK4EPS,3447,195.065,2.55,10,day 0,08:00,day 0,18:00,4717.926175,4,100
34,B0FFJONTQ7,34,B0FFHW4GZB,3448,287.36,3.1,13,day 0,12:00,day 0,22:00,6133.3040275,2,50
35,B0FFHJD9U9,35,B0FFKHC9PU,3449,305.093,3.71666666666667,13,day 0,12:00,day 0,22:00,6133.3040275,4,100
36,B02001C3PG,36,B0FFHOJIJ7,3450,217.108,2.68333333333333,13,day 0,08:00,day 0,18:00,6133.3040275,2,50
37,B0FFL9Q85P,37,B0GUVDW01P,3451,307.389,3.51666666666667,12,day 0,12:00,day 0,22:00,5661.51141,2,100
38,B0FFK83QI3,38,B0FFHW4GZB,3452,321.879,3.45,20,day 0,08:00,day 0,18:00,9435.85235,4,100
39,B00190CNHV,39,B0FFHW4GZB,3453,301.619,3.28333333333333,9,day 0,08:00,day 0,18:00,4246.1335575,2,50
40,B00190CNHV,40,B0FFKZT863,3454,286.021,3.8,22,day 0,08:00,day 0,18:00,10379.437585,2,100
41,B0FFFRS0IH,41,B0FFHW4GZB,3455,303.428,3.31666666666667,15,day 0,08:00,day 0,18:00,7076.8892625,4,50
42,B0G0NZW2VU,42,B0FFKZT863,3456,280.598,3.8,15,day 0,08:00,day 0,18:00,7076.8892625,2,100
43,B0FFH3869T,43,B0FFKZT863,3457,325.913,4.58333333333333,13,day 0,12:00,day 0,22:00,6133.3040275,2,100
44,B0FFHJD9U9,44,B023D040HU,3458,133.807,2.3,13,day 0,12:00,day 0,22:00,6133.3040275,2,100
