startdepot,returndepot,numOrders,LIFO,maxOrder,duration,radius,stop
B01FE15XQH,B0FFGPRVIT,574,1,4,12,50,500
# orders
id,origin,org_id,destination,dest_id,distance,duration,pallet,dayo,to,dayd,td,LTL,maxDelay,lateCost
1821,B0FFF4HNKG,1821,B0FFH0WGKS,3913,207.288,2.81666666666667,15,day 0,08:00,day 0,18:00,5661.51141,4,100
1767,B0FFHE4XO4,1767,B0I6TYMZJG,3859,149.645,2.08333333333333,7,day 0,12:00,day 0,22:00,2642.038658,4,100
721,B00190CNHV,721,B01FE15XQH,2813,169.758,2.16666666666667,7,day 0,12:00,day 0,22:00,2642.038658,4,50
640,B0FFLC9J93,640,B00156D6K6,2732,365.512,4.46666666666667,19,day 0,12:00,day 0,22:00,7171.247786,2,50
744,B0FFK4CQ2L,744,B0FFKDRXE8,2836,220.7,3,19,day 0,12:00,day 0,22:00,7171.247786,4,50
923,B0FFHXJXZR,923,B02000JR6M,3015,130.306,1.83333333333333,22,day 0,12:00,day 0,22:00,8303.550068,4,50
254,B01FE15UUN,254,B0FFGO36Q6,2346,150.609,2.2,20,day 0,08:00,day 0,18:00,7548.68188,2,100
1709,B0202173FW,1709,B0FFJN8WFQ,3801,191.515,2.6,12,day 0,08:00,day 0,18:00,4529.209128,4,50
240,B00190CNHV,240,B0FFGO36Q6,2332,321.955,3.96666666666667,14,day 0,12:00,day 0,22:00,5284.077316,2,100
915,B0FFK83QI3,915,B0FFGJ1NAK,3007,204.508,2.51666666666667,17,day 0,08:00,day 0,18:00,6416.379598,4,100
1877,B0H1TCJ4IO,1877,B02001C3PG,3969,147.469,2.35,20,day 0,08:00,day 0,18:00,7548.68188,4,100
1026,B0FFFRXR3L,1026,B01FE15UUN,3118,241.19,3.3,16,day 0,08:00,day 0,18:00,6038.945504,2,50
1043,B0G0NZW2VU,1043,B02000JR6M,3135,188.548,2.4,18,day 0,08:00,day 0,18:00,6793.813692,2,100
1337,B0202150WR,1337,B0FFGAIWAV,3429,216.298,2.81666666666667,13,day 0,08:00,day 0,18:00,4906.643222,2,100
510,B0HDRHT0UU,510,B0FFHFSCFH,2602,258.676,3.21666666666667,20,day 0,08:00,day 0,18:00,7548.68188,4,50
1066,B0FFL9CGXN,1066,B0FFHDQA5M,3158,221.456,3.03333333333333,19,day 0,08:00,day 0,18:00,7171.247786,4,100
88,B0FFG9F43K,88,B00156ODDT,2180,151.174,1.96666666666667,22,day 0,08:00,day 0,18:00,8303.550068,2,50
1859,B0G1AO0IBH,1859,B0FFH61OBO,3951,232.832,2.76666666666667,12,day 0,08:00,day 0,18:00,4529.209128,2,100
1543,B0FFH4SOJP,1543,B0FFK7ZQFN,3635,161.326,2.01666666666667,11,day 0,12:00,day 0,22:00,4151.775034,4,100
1317,B0FFHE4XO4,1317,B0FFH62FC9,3409,196.116,2.73333333333333,11,day 0,12:00,day 0,22:00,4151.775034,4,50
344,B0FFG9F43K,344,B0FFHNXOVT,2436,135.305,1.85,18,day 0,12:00,day 0,22:00,6793.813692,4,50
1056,B0FFG0GSMW,1056,B0FFFTQ4U7,3148,225.997,3.23333333333333,15,day 0,08:00,day 0,18:00,5661.51141,2,50
669,B0FFIS83Q7,669,B01FE15UUN,2761,126.727,1.83333333333333,11,day 0,12:00,day 0,22:00,4151.775034,4,50
1221,B0GKC6MA4E,1221,B0FFKZGWZ9,3313,242.379,3.13333333333333,13,day 0,12:00,day 0,22:00,4906.643222,2,50
1297,B0G3AZBRXL,1297,B00156D6K6,3389,299.92,3.83333333333333,21,day 0,12:00,day 0,22:00,7926.115974,2,100
1824,B0GUAXEBYM,1824,B0I6TYMZJG,3916,143.396,1.73333333333333,9,day 0,08:00,day 0,18:00,3396.906846,4,50
1311,B020216GML,1311,B0FFHF2VI7,3403,132.438,2.21666666666667,22,day 0,12:00,day 0,22:00,8303.550068,2,50
56,B0FFG0GSMW,56,B02001C3PG,2148,225.517,3.46666666666667,16,day 0,08:00,day 0,18:00,6038.945504,2,100
689,B0FFL9Q85P,689,B02001C3PG,2781,195.702,2.43333333333333,12,day 0,08:00,day 0,18:00,4529.209128,4,50
934,B0FFFRS0IH,934,B0FFHFSCFH,3026,224.665,2.78333333333333,7,day 0,08:00,day 0,18:00,2642.038658,4,50
1144,B0FFL9CGXN,1144,B0IG9RDYYV,3236,222.86,3.03333333333333,18,day 0,12:00,day 0,22:00,6793.813692,2,100
740,B0G13KYBJL,740,B0FFKSVI1S,2832,338.586,4.06666666666667,7,day 0,12:00,day 0,22:00,2642.038658,2,100
748,B0G3AZBRXL,748,B0FFGO36Q6,2840,292.265,3.68333333333333,7,day 0,12:00,day 0,22:00,2642.038658,2,100
48,B0FFL9CGXN,48,B0FFH61OBO,2140,244.017,3.21666666666667,18,day 0,12:00,day 0,22:00,6793.813692,2,50
1291,B01FE0J0V7,1291,B0FFFA2AO6,3383,153.181,2.08333333333333,15,day 0,08:00,day 0,18:00,5661.51141,4,50
1119,B020216GML,1119,B0FFI9JCED,3211,240.03,3.26666666666667,20,day 0,12:00,day 0,22:00,7548.68188,2,50
282,B0GUAXEBYM,282,B00156GGDT,2374,195.276,2.53333333333333,10,day 0,12:00,day 0,22:00,3774.34094,2,50
300,B0HDRHT0UU,300,B0FFHC9CJ8,2392,221.116,2.96666666666667,11,day 0,08:00,day 0,18:00,4151.775034,2,50
1695,B0HDRHT0UU,1695,B0G2MKTPMP,3787,309.934,3.7,12,day 0,12:00,day 0,22:00,4529.209128,4,50
1220,B0FFH1DRA5,1220,B0FFI8WH5V,3312,206.858,2.5,14,day 0,12:00,day 0,22:00,5284.077316,4,100
1869,B020215DUP,1869,B0IGCZC15I,3961,238.283,3.06666666666667,18,day 0,12:00,day 0,22:00,6793.813692,2,100
1176,B0FFH3869T,1176,B0FFHDQA5M,3268,220.984,2.71666666666667,10,day 0,08:00,day 0,18:00,3774.34094,2,50
577,B0GUCU8FLD,577,B01FE15XQH,2669,117.118,1.85,19,day 0,12:00,day 0,22:00,7171.247786,2,100
1065,B0FFHCRHH3,1065,B0FFKSVI1S,3157,193.364,2.56666666666667,20,day 0,12:00,day 0,22:00,7548.68188,4,100
971,B0FFF4HNKG,971,B0FFHNXOVT,3063,234.261,3.1,13,day 0,12:00,day 0,22:00,4906.643222,4,50
400,B0202173FW,400,B01FE15UUN,2492,198.056,2.5,10,day 0,12:00,day 0,22:00,3774.34094,4,100
1792,B0GUAXEBYM,1792,B02000JJN1,3884,111.492,1.51666666666667,20,day 0,12:00,day 0,22:00,7548.68188,2,100
1956,B0FFH70JG8,1956,B0FFH6WPC3,4048,319.597,3.81666666666667,8,day 0,12:00,day 0,22:00,3019.472752,4,100
147,B0FFHJD9U9,147,B0FFKZGWZ9,2239,118.934,1.81666666666667,13,day 0,12:00,day 0,22:00,4906.643222,2,100
201,B01FE15XQH,201,B00156D6K6,2293,205.372,2.71666666666667,18,day 0,12:00,day 0,22:00,6793.813692,4,100
365,B0FFF8Z69A,365,B0FFI9JCED,2457,182.75,2.61666666666667,15,day 0,12:00,day 0,22:00,5661.51141,2,50
690,B0HDRHT0UU,690,B0FFF4JOKL,2782,286.487,3.55,17,day 0,12:00,day 0,22:00,6416.379598,2,50
1950,B0H1TCJ4IO,1950,B0FFHDQA5M,4042,194.719,2.55,6,day 0,12:00,day 0,22:00,2264.604564,2,100
768,B0G13KYBJL,768,B0FFGIBTXI,2860,274.077,3.26666666666667,6,day 0,08:00,day 0,18:00,2264.604564,4,50
882,B0G0ZLYTOF,882,B0FFH62FC9,2974,299.608,4.05,8,day 0,08:00,day 0,18:00,3019.472752,2,50
560,B01FE15UUN,560,B0FFGAIWAV,2652,103.094,1.43333333333333,12,day 0,12:00,day 0,22:00,4529.209128,2,100
851,B020216GML,851,B00156GGDT,2943,276.515,3.8,21,day 0,12:00,day 0,22:00,7926.115974,2,50
1112,B00190CNHV,1112,B01FE15UUN,3204,196.529,2.43333333333333,9,day 0,12:00,day 0,22:00,3396.906846,4,100
76,B0FFHXJXZR,76,B0FFH62FC9,2168,233.857,2.65,18,day 0,12:00,day 0,22:00,6793.813692,2,100
622,B0FFH3869T,622,B0FFHNXOVT,2714,258.275,3.15,7,day 0,08:00,day 0,18:00,2642.038658,2,50
1387,B0GUCU8FLD,1387,B00156ODDT,3479,258.094,3.23333333333333,15,day 0,12:00,day 0,22:00,5661.51141,4,50
1237,B0FFG2575E,1237,B0FFGAIWAV,3329,213.411,2.65,8,day 0,12:00,day 0,22:00,3019.472752,2,100
452,B0FFIS83Q7,452,B02001C3PG,2544,125.94,1.85,19,day 0,12:00,day 0,22:00,7171.247786,4,100
1954,B0FFL9Q85P,1954,B0IGCZC15I,4046,247.73,2.71666666666667,13,day 0,12:00,day 0,22:00,4906.643222,4,50
162,B0GKC6MA4E,162,B0G2MKTPMP,2254,286.402,3.63333333333333,18,day 0,12:00,day 0,22:00,6793.813692,2,100
1356,B0FFHE4XO4,1356,B00156ODDT,3448,170.49,2.43333333333333,19,day 0,12:00,day 0,22:00,7171.247786,2,100
819,B0FFF8Z69A,819,B0FFHDQA5M,2911,135.04,1.98333333333333,17,day 0,12:00,day 0,22:00,6416.379598,2,100
844,B0G0ZLYTOF,844,B0FFJRVTYE,2936,290.916,3.88333333333333,17,day 0,08:00,day 0,18:00,6416.379598,4,50
1415,B0FFFRXR3L,1415,B0FFKZGWZ9,3507,295.473,3.91666666666667,18,day 0,08:00,day 0,18:00,6793.813692,2,100
1744,B0G1AO0IBH,1744,B0FFKZGWZ9,3836,232.442,2.85,15,day 0,12:00,day 0,22:00,5661.51141,4,100
1727,B0FFH70JG8,1727,B0FFHNXOVT,3819,279.352,3.21666666666667,15,day 0,12:00,day 0,22:00,5661.51141,4,50
738,B0FFF4HNKG,738,B0G2MKTPMP,2830,250.987,3.28333333333333,13,day 0,08:00,day 0,18:00,4906.643222,2,100
525,B0FFL9CGXN,525,B0FFFU612V,2617,147.104,2.13333333333333,16,day 0,08:00,day 0,18:00,6038.945504,2,100
108,B01FE0J0V7,108,B00156GGDT,2200,172.226,2.4,15,day 0,12:00,day 0,22:00,5661.51141,4,50
1955,B0FFH70JG8,1955,B0FFHDQA5M,4047,242.061,2.73333333333333,16,day 0,12:00,day 0,22:00,6038.945504,2,100
1493,B0H1TCJ4IO,1493,B00156GGDT,3585,285.432,3.85,10,day 0,08:00,day 0,18:00,3774.34094,2,50
1391,B0FFK83QI3,1391,B0FFFA2AO6,3483,282.807,3.26666666666667,16,day 0,08:00,day 0,18:00,6038.945504,2,50
353,B0FFJONTQ7,353,B0G2MKTPMP,2445,178.965,2.3,19,day 0,12:00,day 0,22:00,7171.247786,4,100
318,B0FFF8Z69A,318,B0FFGO36Q6,2410,228.354,3.11666666666667,9,day 0,12:00,day 0,22:00,3396.906846,4,100
1703,B0G3AZBRXL,1703,B01FE15UUN,3795,165.856,2.11666666666667,11,day 0,08:00,day 0,18:00,4151.775034,4,100
1118,B0FFITJD3C,1118,B0FFGPRVIT,3210,128.136,1.76666666666667,12,day 0,08:00,day 0,18:00,4529.209128,2,50
1684,B0FFH4SOJP,1684,B0FFH6WPC3,3776,281.092,3.28333333333333,12,day 0,12:00,day 0,22:00,4529.209128,2,100
1822,B0G1AO0IBH,1822,B0FFGAIWAV,3914,234.446,2.76666666666667,11,day 0,12:00,day 0,22:00,4151.775034,4,100
204,B0G13KYBJL,204,B02000JJ21,2296,248.546,3.08333333333333,15,day 0,12:00,day 0,22:00,5661.51141,2,100
527,B0FFG9F43K,527,B0FFHFSCFH,2619,100.773,1.6,16,day 0,08:00,day 0,18:00,6038.945504,4,100
1019,B0GKC6MA4E,1019,B0FFF4JOKL,3111,262.955,3.41666666666667,8,day 0,12:00,day 0,22:00,3019.472752,4,50
652,B0FFF4HNKG,652,B0FFJ1CPHP,2744,240.708,3.05,12,day 0,08:00,day 0,18:00,4529.209128,4,50
476,B0FFFU612V,476,B00156GGDT,2568,179.198,2.51666666666667,18,day 0,08:00,day 0,18:00,6793.813692,4,50
1590,B0FFGZQ43R,1590,B0G2MKTPMP,3682,120.362,1.6,14,day 0,08:00,day 0,18:00,5284.077316,2,100
792,B0FFK4CQ2L,792,B0FFL37B6B,2884,137.2,2,11,day 0,12:00,day 0,22:00,4151.775034,2,50
375,B0FFK4CQ2L,375,B0FFGO36Q6,2467,202.147,2.76666666666667,10,day 0,12:00,day 0,22:00,3774.34094,4,100
1525,B020215DUP,1525,B00156D6K6,3617,296.722,3.91666666666667,11,day 0,12:00,day 0,22:00,4151.775034,4,50
95,B0FFGYNGHQ,95,B0FFKDRXE8,2187,227.463,2.96666666666667,8,day 0,08:00,day 0,18:00,3019.472752,4,50
1733,B0202150WR,1733,B0FFL7OZ0J,3825,149.495,2.23333333333333,20,day 0,12:00,day 0,22:00,7548.68188,2,100
35,B0G13KYBJL,35,B0FFKDRXE8,2127,365.282,4.4,8,day 0,12:00,day 0,22:00,3019.472752,2,100
1643,B0FFL9CGXN,1643,B0I6TYMZJG,3735,253.771,3.25,16,day 0,08:00,day 0,18:00,6038.945504,4,50
179,B0FFH1DRA5,179,B02000JR6M,2271,202.648,2.48333333333333,8,day 0,12:00,day 0,22:00,3019.472752,4,50
