startdepot,returndepot,numOrders,LIFO,maxOrder,duration,radius,stop
B01FE15XQH,B0FFKHC9PU,2000,1,4,12,100,500
# orders
id,origin,org_id,destination,dest_id,distance,duration,pallet,dayo,to,dayd,td,LTL,maxDelay,lateCost
2396,B0FFL9CGXN,2396,B0HA6CDCW1,5810,352.617,3.85,22,day 0,08:00:00,day 0,18:00:00,10379.437585,2,100
3209,B0FFGZQ43R,3209,B0FFM9VWFS,6623,326.563,3.7,16,day 0,08:00:00,day 0,18:00:00,7548.68188,4,100
2070,B0G13KYBJL,2070,B0FFITCS2H,5484,321.986,3.96666666666667,18,day 0,12:00:00,day 0,22:00:00,8492.267115,2,50
1274,B0G3AZBRXL,1274,B0G30DK65S,4688,374.458,4.68333333333333,18,day 0,12:00:00,day 0,22:00:00,8492.267115,4,50
2300,B0GDDXZDXN,2300,B0FFLK4EPS,5714,110.841,1.56666666666667,9,day 0,12:00:00,day 0,22:00:00,4246.1335575,4,100
2740,B0GKC6MA4E,2740,B0FFHDQ3SM,6154,281.96,3.58333333333333,8,day 0,08:00:00,day 0,18:00:00,3774.34094,4,100
2452,B0G13KYBJL,2452,B0FFHDQ3SM,5866,302.99,3.61666666666667,15,day 0,12:00:00,day 0,22:00:00,7076.8892625,4,100
2860,B0FFH3869T,2860,B0FFLA9ZTX,6274,324.136,4.56666666666667,21,day 0,08:00:00,day 0,18:00:00,9907.6449675,4,100
154,B0G0NZW2VU,154,B0FFHOJIJ7,3568,234.233,2.96666666666667,21,day 0,12:00:00,day 0,22:00:00,9907.6449675,2,50
3018,B0202150WR,3018,B0FFG2I6S2,6432,390.824,4.61666666666667,10,day 0,08:00:00,day 0,18:00:00,4717.926175,4,100
1746,B0FFH70JG8,1746,B0FFGQ8EH5,5160,327.802,3.51666666666667,22,day 0,12:00:00,day 0,22:00:00,10379.437585,2,100
2786,B0G3AZBRXL,2786,B0FFLHS22C,6200,265.41,3.36666666666667,20,day 0,12:00:00,day 0,22:00:00,9435.85235,4,100
1733,B0FFK83QI3,1733,B0HA6CDCW1,5147,329.297,3.58333333333333,8,day 0,12:00:00,day 0,22:00:00,3774.34094,2,100
2259,B0FFH0WGKS,2259,B0FFJ01V55,5673,101.634,1.36666666666667,22,day 0,12:00:00,day 0,22:00:00,10379.437585,2,100
733,B0202173FW,733,B0FFKGBPOF,4147,305.206,3.78333333333333,20,day 0,08:00:00,day 0,18:00:00,9435.85235,2,50
2159,B0FFG0GSMW,2159,B023B15E6D,5573,448.679,5.28333333333333,11,day 0,12:00:00,day 0,22:00:00,5189.7187925,2,100
3120,B0GUCU8FLD,3120,B0FFL81IUU,6534,307.981,3.46666666666667,12,day 0,12:00:00,day 0,22:00:00,5661.51141,2,100
2443,B0FFL37B6B,2443,B0H135MBEW,5857,175.686,2.41666666666667,14,day 0,12:00:00,day 0,22:00:00,6605.096645,4,100
611,B0FFG9F43K,611,B0FFK7XY6U,4025,288.473,3.43333333333333,18,day 0,12:00:00,day 0,22:00:00,8492.267115,4,100
2177,B0FFHCRHH3,2177,B0FFK85V4K,5591,283.74,3.61666666666667,18,day 0,08:00:00,day 0,18:00:00,8492.267115,4,50
2274,B0FFJN8WFQ,2274,B0FFG2I6S2,5688,255.539,3.05,6,day 0,08:00:00,day 0,18:00:00,2830.755705,4,50
3061,B02000JJN1,3061,B0FFK85V4K,6475,212.941,2.53333333333333,20,day 0,12:00:00,day 0,22:00:00,9435.85235,4,100
2642,B0GKC6MA4E,2642,B0FFH1UGLN,6056,350.117,4.25,14,day 0,08:00:00,day 0,18:00:00,6605.096645,2,100
