"id","origin","org_city","org_district","destination","dest_city","dest_district","distance","duration","case","pallet","to","dayo","td","dayd","LTL","maxDelay","lateCost"
1,"B0FFL9Q85P","Nanjing","江宁区","B0FFGO36Q6","Shanghai","浦东新区",321.786,3.88333333333333,"JS",11,"08:00","day 0","18:00","day 0",4151.775034,2,50
2,"B0FFH1DRA5","Nanjing","栖霞区","B0FFI9JCED","Shanghai","青浦区",279.893,3.33333333333333,"JS",12,"12:00","day 0","22:00","day 0",4529.209128,4,100
3,"B01FE0J0V7","Wuxi","惠山区","B0FFGO36Q6","Shanghai","浦东新区",181.345,2.45,"JS",22,"08:00","day 0","18:00","day 0",8303.550068,2,100
4,"B01FE0J0V7","Wuxi","惠山区","B0FFKZGWZ9","Suzhou","太仓市",128.04,1.8,"JS",7,"08:00","day 0","18:00","day 0",2642.038658,2,50
5,"B0FFHF2VI7","Wuxi","锡山区","B00156GGDT","Shanghai","闵行区",153.27,2.23333333333333,"JS",9,"12:00","day 0","22:00","day 0",3396.906846,4,100
6,"B01FE15UUN","Wuxi","江阴市","B0FFH62FC9","Shanghai","金山区",157.705,2.08333333333333,"JS",14,"08:00","day 0","18:00","day 0",5284.077316,4,50
7,"B0G13KYBJL","Nanjing","六合区","B0FFGPRVIT","Shanghai","松江区",319.637,3.81666666666667,"JS",20,"12:00","day 0","22:00","day 0",7548.68188,2,100
8,"B0G0ZLYTOF","Nanjing","栖霞区","B0FFFTQ4U7","Wuxi","江阴市",174.052,2.7,"JS",18,"08:00","day 0","18:00","day 0",6793.813692,2,100
9,"B0FFFRS0IH","Nanjing","江宁区","B0G2MKTPMP","Shanghai","松江区",275.923,3.3,"JS",11,"12:00","day 0","22:00","day 0",4151.775034,2,50
10,"B0FFL7OZ0J","Wuxi","锡山区","B00156D6K6","Shanghai","浦东新区",161.802,2.18333333333333,"JS",16,"08:00","day 0","18:00","day 0",6038.945504,4,100
11,"B0FFHE4XO4","Changzhou","武进区","B0FFGIBTXI","Suzhou","太仓市",137.863,2.13333333333333,"JS",21,"12:00","day 0","22:00","day 0",7926.115974,2,50
12,"B01FE0J0V7","Wuxi","惠山区","B0FFLCF954","Shanghai","宝山区",143.827,2.35,"JS",11,"08:00","day 0","18:00","day 0",4151.775034,4,100
13,"B0FFLC9J93","Nanjing","浦口区","B0FFKZGWZ9","Suzhou","太仓市",290.245,3.88333333333333,"JS",16,"12:00","day 0","22:00","day 0",6038.945504,2,50
14,"B0FFFRS0IH","Nanjing","江宁区","B0FFGPRVIT","Shanghai","松江区",288.128,3.5,"JS",21,"12:00","day 0","22:00","day 0",7926.115974,2,50
15,"B0FFLC9J93","Nanjing","浦口区","B0FFGIBTXI","Suzhou","太仓市",288.607,3.86666666666667,"JS",13,"12:00","day 0","22:00","day 0",4906.643222,4,50
16,"B0HDRHT0UU","Nanjing","浦口区","B0FFGIBTXI","Suzhou","太仓市",276.579,3.38333333333333,"JS",12,"12:00","day 0","22:00","day 0",4529.209128,2,100
17,"B0G0NZW2VU","Nanjing","江宁区","B0FFJRVTYE","Shanghai","松江区",299.388,3.33333333333333,"JS",16,"08:00","day 0","18:00","day 0",6038.945504,2,100
18,"B0FFK83QI3","Nanjing","江宁区","B0FFGPRVIT","Shanghai","松江区",283.879,3.28333333333333,"JS",11,"12:00","day 0","22:00","day 0",4151.775034,4,100
19,"B0FFJONTQ7","Changzhou","新北区","B0FFGO36Q6","Shanghai","浦东新区",218.262,2.88333333333333,"JS",6,"12:00","day 0","22:00","day 0",2264.604564,4,50
20,"B0FFGTI293","Changzhou","新北区","B0FFGO36Q6","Shanghai","浦东新区",224.433,2.93333333333333,"JS",11,"12:00","day 0","22:00","day 0",4151.775034,2,50
21,"B0GUAXEBYM","Changzhou","武进区","B00156D6K6","Shanghai","浦东新区",199.361,2.48333333333333,"JS",21,"08:00","day 0","18:00","day 0",7926.115974,2,100
22,"B0FFFU612V","Wuxi","江阴市","B0FFKSVI1S","Shanghai","奉贤区",180.174,2.46666666666667,"JS",7,"12:00","day 0","22:00","day 0",2642.038658,2,100
